state,account_length,area_code,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn_yes,international_plan_yes,voice_mail_plan_yes
-0.3826086956521739,0.6074380165289256,-0.8378877400295421,0.0,0.6227596017069702,0.5333333333333333,0.6226572958500669,0.571899917514435,0.5,0.5719831769653834,0.5146835443037975,0.5657142857142857,0.5149127743387732,0.555,0.48635608921269424,0.5555555555555556,0.0,0.0,1.0,0.0
-0.28695652173913044,0.4462809917355372,-0.6584194977843427,1.0,0.6187766714082504,0.7454545454545455,0.6188085676037482,0.6425625515534781,0.49411764705882355,0.6425105143966354,0.4149367088607595,0.5657142857142857,0.4153066966797974,0.45,0.4136085516989226,0.45,0.4444444444444444,0.0,0.0,1.0
-0.33478260869565213,0.30991735537190085,-0.8227474150664698,0.0,0.30526315789473685,0.8484848484848485,0.3052208835341365,0.6549353863073962,0.7823529411764706,0.6551277903591071,0.6881012658227849,0.6628571428571428,0.6882386043894204,0.5,0.4136085516989226,0.5,0.4444444444444444,1.0,0.0,0.0
-0.31304347826086953,0.7148760330578513,-0.6584194977843427,0.0,0.541394025604552,0.593939393939394,0.5413319946452477,0.6948034094033544,0.4117647058823529,0.694920737625364,0.5584810126582278,0.5542857142857143,0.5588069780528981,0.36000000000000004,0.7242120788958122,0.3592592592592592,0.2222222222222222,0.0,0.0,0.0
-0.33043478260869563,0.45867768595041325,-0.6584194977843427,0.0,0.4850640113798009,0.6848484848484848,0.48510709504685406,0.5312070387682155,0.7588235294117647,0.5312196700097057,0.4759493670886076,0.52,0.4760832864378166,0.5599999999999999,0.5995258061702529,0.5592592592592592,0.0,0.0,0.0,0.0
-0.3,0.38016528925619836,-0.6584194977843427,0.0,0.2799431009957326,0.4727272727272727,0.2799531459170013,0.686279901017322,0.7588235294117647,0.6865092203170495,0.6283544303797468,0.6514285714285715,0.6285875070343275,0.71,0.48635608921269424,0.7092592592592593,0.1111111111111111,0.0,0.0,0.0
-0.3173913043478261,0.4793388429752066,-0.8227474150664698,0.0,0.47539118065433855,0.5212121212121212,0.47540160642570284,0.48803959307121253,0.5117647058823529,0.4881915237787124,0.6313924050632912,0.7542857142857143,0.6314012380416433,0.7050000000000001,0.6456266360724146,0.7055555555555555,0.2222222222222222,1.0,1.0,0.0
-0.3173913043478261,0.35123966942148765,-0.6584194977843427,0.0,0.23755334281650073,0.5818181818181818,0.23761713520749664,0.6079186142425076,0.37058823529411766,0.6078938854739566,0.8853164556962025,0.42857142857142855,0.8857625211029826,0.63,0.4136085516989226,0.6296296296296295,0.0,0.0,0.0,0.0
-0.34347826086956523,0.3553719008264463,-0.6584194977843427,1.0,0.35362731152204835,0.6303030303030303,0.35358099062918336,0.5391806433874072,0.47058823529411764,0.5393076674215465,0.7341772151898734,0.6285714285714286,0.7343837929093979,0.36000000000000004,0.4136085516989226,0.3592592592592592,0.1111111111111111,0.0,0.0,1.0
-0.3739130434782609,0.1115702479338843,-0.6584194977843427,0.0,0.4785206258890469,0.5272727272727272,0.4784136546184739,0.4445971954907891,0.5411764705882353,0.44451633775477195,0.4870886075949367,0.64,0.48733821046707937,0.505,0.4136085516989226,0.5055555555555555,0.3333333333333333,0.0,0.0,0.0
