state,account_length,area_code,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,international_plan_yes,voice_mail_plan_yes
0.7333333333333334,0.05371900826446281,1.0,0.0,0.7735419630156471,0.6303030303030303,0.7734270414993306,0.47126752818256806,0.611764705882353,0.47136848916208346,0.5548571428571428,0.6073619631901841,0.5546378653113089,0.6900000000000001,0.5133403343000765,0.6907407407407407,0.2222222222222222,0.0,0.0
0.4933333333333334,0.27272727272727276,0.034120734908136496,0.0,0.3556187766714083,0.5818181818181818,0.35558902275769744,0.8097332966730822,0.6705882352941176,0.8097703008735038,0.4591428571428571,0.38650306748466257,0.45933926302414235,0.51,0.5133403343000765,0.5092592592592592,0.1111111111111111,0.0,0.0
0.43999999999999995,0.2892561983471075,0.034120734908136496,0.0,0.8261735419630156,0.6545454545454545,0.8261378848728246,0.6981028320043993,0.5411764705882353,0.6981559365901002,0.6237142857142858,0.6993865030674846,0.6238881829733165,0.505,0.5736195661416807,0.5055555555555555,0.3333333333333333,0.0,0.0
0.4666666666666668,0.2272727272727273,0.0,0.0,0.6312944523470839,0.6787878787878788,0.6311914323962516,0.7649161396755567,0.7176470588235294,0.7651245551601423,0.6945714285714286,0.4478527607361963,0.6944091486658197,0.355,0.5736195661416807,0.3555555555555555,0.0,0.0,0.0
0.33333333333333326,0.5289256198347108,0.034120734908136496,0.0,0.9510668563300143,0.7151515151515152,0.9509705488621151,0.5281825680505912,0.611764705882353,0.5283079909414429,0.41714285714285715,0.4355828220858896,0.4167725540025414,0.52,0.6249314763990165,0.5203703703703704,0.0,0.0,0.0
0.52,0.11570247933884298,0.034120734908136496,0.0,0.8910384068278805,0.6242424242424243,0.8908969210174029,0.5947209238383283,0.888235294117647,0.5949530896150114,0.49542857142857144,0.5766871165644172,0.4955527318932656,0.6400000000000001,0.5133403343000765,0.6407407407407407,0.2222222222222222,0.0,0.0
0.5333333333333334,0.6652892561983471,0.0,1.0,0.5112375533428165,0.8727272727272727,0.5112115127175368,0.5996700577398955,0.7588235294117647,0.5998058880621158,0.4780000000000001,0.5705521472392638,0.4777636594663279,0.4650000000000001,0.7092723643981141,0.46481481481481474,0.1111111111111111,0.0,1.0
0.6933333333333334,0.4545454545454546,0.034120734908136496,0.0,0.3502133712660028,0.5333333333333333,0.3502342704149933,0.5881220786362387,0.49411764705882355,0.5881591717890651,0.3997142857142857,0.4662576687116564,0.39961880559085144,0.6000000000000001,0.34678993906910743,0.6,0.5555555555555556,0.0,0.0
0.48,0.4710743801652893,1.0,0.0,0.6970128022759602,0.5878787878787879,0.696954484605087,0.6893043717349464,0.4411764705882353,0.6894208993853121,0.6434285714285715,0.6871165644171779,0.6435832274459976,0.685,0.7092723643981141,0.6851851851851852,0.1111111111111111,0.0,0.0
0.7333333333333334,0.4090909090909091,1.0,1.0,0.19260312944523472,0.40606060606060607,0.1926037483266399,0.4044542205114105,0.6823529411764706,0.4043998705920414,0.6951428571428572,0.558282208588957,0.6950444726810674,0.6150000000000001,0.34678993906910743,0.6148148148148147,0.6666666666666666,0.0,1.0
0.7733333333333334,0.706611570247934,0.0,0.0,0.7681365576102419,0.6181818181818182,0.7680722891566265,0.7055265328567502,0.6529411764705882,0.7055968942089939,0.35285714285714287,0.5644171779141104,0.35260482846251595,0.6000000000000001,0.5736195661416807,0.6,0.2222222222222222,0.0,0.0
0.30666666666666664,0.6033057851239669,0.0,1.0,0.44807965860597443,0.6606060606060606,0.44812583668005357,0.5213087709650811,0.3941176470588235,0.5215140731154967,0.52,0.39263803680981596,0.520330368487929,0.555,0.34678993906910743,0.5555555555555556,0.3333333333333333,1.0,1.0
0.9866666666666668,0.3347107438016529,1.0,0.0,0.47539118065433855,0.4666666666666667,0.47540160642570284,0.3623865823480891,0.4647058823529412,0.3623422840504691,0.4068571428571429,0.5276073619631901,0.40660736975857686,0.47000000000000003,0.21700978324719783,0.4703703703703703,0.6666666666666666,0.0,0.0
0.52,0.49173553719008267,1.0,0.0,0.3203413940256046,0.48484848484848486,0.32028112449799195,0.3420401429749794,0.5058823529411764,0.3419605305726302,0.5425714285714286,0.4662576687116564,0.5425667090216011,0.405,0.4401645030683526,0.4055555555555555,0.6666666666666666,0.0,0.0
0.9866666666666668,0.44214876033057854,1.0,0.0,0.4386913229018492,0.7454545454545455,0.4385876840696118,0.3087709650811108,0.5058823529411764,0.3089615011323197,0.5754285714285715,0.38650306748466257,0.5756035578144854,0.77,0.5133403343000765,0.7703703703703704,0.4444444444444444,0.0,0.0
0.28,0.45867768595041325,1.0,0.0,0.9544807965860598,0.4666666666666667,0.9544846050870147,0.5842727522683531,0.6411764705882352,0.5842769330313814,0.6285714285714286,0.7361963190184049,0.6289707750952986,0.635,0.7092723643981141,0.6351851851851852,0.2222222222222222,0.0,0.0
0.52,0.6652892561983471,1.0,0.0,0.20113798008534853,0.6545454545454545,0.20113788487282463,0.43304921638713223,0.5117647058823529,0.43319314137819476,0.3137142857142858,0.42944785276073616,0.3138500635324016,0.455,0.4401645030683526,0.45555555555555555,0.4444444444444444,0.0,0.0
